Category,Rank,Image Index,Image Path,GT Count,Panel Path,Prediction Summary,Rationale
R4 corrects R0 miss/localization failure,1,1074,D:\download\triair\data\images\nframe_01413.npy,12,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_01_nframe_01413.png,r0_full: TP=8 FP=0 FN=4 Pred=8; r4_full: TP=10 FP=0 FN=2 Pred=10,R4 has fewer unmatched GT boxes than R0 at score threshold 0.50.
R4 corrects R0 miss/localization failure,2,1077,D:\download\triair\data\images\nframe_01416.npy,12,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_02_nframe_01416.png,r0_full: TP=8 FP=0 FN=4 Pred=8; r4_full: TP=10 FP=0 FN=2 Pred=10,R4 has fewer unmatched GT boxes than R0 at score threshold 0.50.
R4 corrects R0 miss/localization failure,3,1080,D:\download\triair\data\images\nframe_01419.npy,12,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_03_nframe_01419.png,r0_full: TP=8 FP=1 FN=4 Pred=9; r4_full: TP=10 FP=0 FN=2 Pred=10,R4 has fewer unmatched GT boxes than R0 at score threshold 0.50.
R4 corrects R0 miss/localization failure,4,1081,D:\download\triair\data\images\nframe_01420.npy,12,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_04_nframe_01420.png,r0_full: TP=8 FP=1 FN=4 Pred=9; r4_full: TP=10 FP=0 FN=2 Pred=10,R4 has fewer unmatched GT boxes than R0 at score threshold 0.50.
R4 corrects R0 miss/localization failure,5,1113,D:\download\triair\data\images\nframe_01453.npy,13,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_05_nframe_01453.png,r0_full: TP=9 FP=0 FN=4 Pred=9; r4_full: TP=13 FP=0 FN=0 Pred=13,R4 has fewer unmatched GT boxes than R0 at score threshold 0.50.
Shared successful detection,1,659,D:\download\triair\data\images\frame_02515.npy,9,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_06_frame_02515.png,r0_full: TP=9 FP=0 FN=0 Pred=9; r4_full: TP=9 FP=0 FN=0 Pred=9,Both R0 and R4 cover all GT boxes; this is a shared success example.
Shared successful detection,2,660,D:\download\triair\data\images\frame_02516.npy,9,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_07_frame_02516.png,r0_full: TP=9 FP=0 FN=0 Pred=9; r4_full: TP=9 FP=0 FN=0 Pred=9,Both R0 and R4 cover all GT boxes; this is a shared success example.
Shared successful detection,3,661,D:\download\triair\data\images\frame_02517.npy,9,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_08_frame_02517.png,r0_full: TP=9 FP=0 FN=0 Pred=9; r4_full: TP=9 FP=0 FN=0 Pred=9,Both R0 and R4 cover all GT boxes; this is a shared success example.
Shared successful detection,4,668,D:\download\triair\data\images\frame_02524.npy,9,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_09_frame_02524.png,r0_full: TP=9 FP=0 FN=0 Pred=9; r4_full: TP=9 FP=0 FN=0 Pred=9,Both R0 and R4 cover all GT boxes; this is a shared success example.
Shared successful detection,5,640,D:\download\triair\data\images\frame_02496.npy,8,E:\RepViT-main\runs\local_clean_qualitative_panels\clean_case_10_frame_02496.png,r0_full: TP=8 FP=0 FN=0 Pred=8; r4_full: TP=8 FP=0 FN=0 Pred=8,Both R0 and R4 cover all GT boxes; this is a shared success example.
