shortlist_rank,cluster_id,cluster_pair_count,cluster_node_count,review_selection_rule,pair_id,family,validation_sample_id,validation_relative_path,validation_numeric_id,nearest_train_sample_id,nearest_train_relative_path,train_numeric_id,id_distance,same_original_candidate_component,validation_cdc_component_id,train_cdc_component_id,same_reviewed_41_component,reviewed_41_component_ids,validation_reviewed_41_component_ids,train_reviewed_41_component_ids,relation_bucket,diagnostic_rule,capture_order_claim,selection_basis
1,fpc_0001,6,7,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0001,frame,frame_00418,data/images/frame_00418.npy,418,frame_00417,data/images/frame_00417.npy,417,1,no,cdc_0054,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
2,fpc_0002,6,7,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0002,frame,frame_00429,data/images/frame_00429.npy,429,frame_00430,data/images/frame_00430.npy,430,1,no,cdc_0054,cdc_0055,no,NA,tvcc_0001,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
3,fpc_0003,16,17,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0003,frame,frame_00490,data/images/frame_00490.npy,490,frame_00491,data/images/frame_00491.npy,491,1,no,NA,cdc_0065,no,NA,NA,tvcc_0002,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
4,fpc_0004,5,6,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0004,frame,frame_00494,data/images/frame_00494.npy,494,frame_00493,data/images/frame_00493.npy,493,1,no,cdc_0066,cdc_0065,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
5,fpc_0005,4,5,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0005,frame,frame_00502,data/images/frame_00502.npy,502,frame_00503,data/images/frame_00503.npy,503,1,no,cdc_0067,cdc_0065,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
6,fpc_0006,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0006,frame,frame_00511,data/images/frame_00511.npy,511,frame_00510,data/images/frame_00510.npy,510,1,no,NA,cdc_0065,no,NA,NA,tvcc_0002,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
7,fpc_0007,11,12,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0007,frame,frame_00933,data/images/frame_00933.npy,933,frame_00932,data/images/frame_00932.npy,932,1,no,cdc_0101,NA,no,NA,tvcc_0003,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
8,fpc_0008,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0008,frame,frame_01076,data/images/frame_01076.npy,1076,frame_01075,data/images/frame_01075.npy,1075,1,no,cdc_0117,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
9,fpc_0009,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0009,frame,frame_01078,data/images/frame_01078.npy,1078,frame_01079,data/images/frame_01079.npy,1079,1,no,cdc_0117,NA,no,NA,tvcc_0005,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
10,fpc_0010,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0010,frame,frame_01088,data/images/frame_01088.npy,1088,frame_01087,data/images/frame_01087.npy,1087,1,no,cdc_0119,cdc_0118,no,NA,tvcc_0006,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
11,fpc_0011,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0011,frame,frame_01113,data/images/frame_01113.npy,1113,frame_01112,data/images/frame_01112.npy,1112,1,no,cdc_0124,NA,no,NA,tvcc_0008,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
12,fpc_0012,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0012,frame,frame_01168,data/images/frame_01168.npy,1168,frame_01167,data/images/frame_01167.npy,1167,1,no,cdc_0129,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
13,fpc_0013,2,3,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0013,frame,frame_01171,data/images/frame_01171.npy,1171,frame_01172,data/images/frame_01172.npy,1172,1,no,cdc_0129,NA,no,NA,tvcc_0009,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
14,fpc_0014,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0014,frame,frame_01178,data/images/frame_01178.npy,1178,frame_01177,data/images/frame_01177.npy,1177,1,no,cdc_0129,NA,no,NA,NA,NA,not_covered_by_original_graph,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
15,fpc_0015,1,2,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0015,frame,frame_01179,data/images/frame_01179.npy,1179,frame_01180,data/images/frame_01180.npy,1180,1,no,cdc_0129,NA,no,NA,tvcc_0009,NA,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
16,fpc_0016,21,22,"first pair after cluster sort by family, minimum ID distance, lexical sample ID",fp_0016,frame,frame_01220,data/images/frame_01220.npy,1220,frame_01221,data/images/frame_01221.npy,1221,1,no,cdc_0133,cdc_0131,no,NA,NA,tvcc_0010,endpoint_in_reviewed_41_only,same-family nearest train ID distance <= 16,not_claimed,family numeric ID distance only
