artifact_id,path_or_url,sha256,source,provider_controlled,relevant_location,claim_supported,evidence_classification,retrieved_at
official_paper,D:\MM-UAV_provider_audit\arxiv_2511.18344v3.html,89e69fb5865b530a2e04bd14cf0b20833e4bf8956b1f9b666db3bd2920fb0822,official arXiv v3,True,1286-1304; 1799-1802,"Independent RGB/IR boxes, no event boxes, sparse cadence, learned STN initialization",explicit,2026-07-15T11:19:16+08:00
official_converter,D:\MM-UAV_provider_audit\Benchmark\tools\datasets\convert_MMMUAV_to_coco.py,7a17575d25dd9c3da8b38832e2d9cf173c7447d731b8779ff7c42a7fb21c19ad,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,38-44; 69-102; 155-236,Drone category; separate GT; common annotated frame intersection; partial field use,explicit_code,2026-07-15T11:19:16+08:00
deformable_alignment,D:\MM-UAV_provider_audit\Benchmark\yolox\models\yolo_pafpn2_def.py,d17377c5448463497095b8f50dfaf195b359fa18a9962bf891faa0b32e04236a,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,111-130; 163-183,Learned deformable feature alignment,explicit_code,2026-07-15T11:19:16+08:00
stn_alignment,D:\MM-UAV_provider_audit\Benchmark\yolox\models\yolo_pafpn2_stn.py,2a4e39e4dd9917224d6d78576212528b8302eb81c3e6c8a89f207043cf79cad8,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,100-108; 110-153; 175-193,Global affine initialization plus trainable feature-level delta,explicit_code,2026-07-15T11:19:16+08:00
temporal_cmc,D:\MM-UAV_provider_audit\Benchmark\VideoCameraCorrection\VideoCameraCorrection\cmc.cpp,fc7a4870a988e14a4711023926a774da06d19b4bfada5f3c692a0ca4c7d50b10,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,14-77,"Within-video temporal camera-motion correction, not cross-modal registration",explicit_code,2026-07-15T11:19:16+08:00
temporal_cmc_entry,D:\MM-UAV_provider_audit\Benchmark\VideoCameraCorrection\VideoCameraCorrection\main.cpp,aab4c5fdd01a8cbc3da0369e6dc1a87bb2c30ef76bf650af18a3dffce1cf0806,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,relevant program body,Writes per-frame temporal GMC,explicit_code,2026-07-15T11:19:16+08:00
baseline_readme,D:\MM-UAV_provider_audit\Benchmark\README.md,684adc2ac4bf41dc5e4dcc9d78be4949b6e8df154dc0b6e306cd8046170297f3,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,dataset and baseline sections,Official repository and feature-alignment baseline,explicit,2026-07-15T11:19:16+08:00
baseline_code_license,D:\MM-UAV_provider_audit\Benchmark\LICENSE,1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6,official baseline commit 5051e4451a2b66dba9128fb0f766832152e7d120,True,full file,"Apache-2.0 covers repository code, not expressly dataset files",explicit,2026-07-15T11:19:16+08:00
evaluation_readme,D:\MM-UAV_provider_audit\Evaluation\README.md,58e1780cea3827a901cd643bbbd7385dac9faa03551f8868470a4805b9e3b3a6,official evaluation commit a468fb66db9e67c00357e1bd3f169745c389bab7,True,full file,Official evaluation instructions; no spatial calibration contract,explicit,2026-07-15T11:19:16+08:00
evaluation_code_license,D:\MM-UAV_provider_audit\Evaluation\LICENSE,1eb85fc97224598dad1852b5d6483bbcf0aa8608790dcc657a5a2a761ae9c8c6,official evaluation commit a468fb66db9e67c00357e1bd3f169745c389bab7,True,full file,Repository code license; not a dataset license,explicit,2026-07-15T11:19:16+08:00
local_seqinfo_rgb,E:\MM-UAV_extracted\MMMUAV\train\0007\seqinfo-rgb.ini,06a3c28de9a86494810272411f2f5c363d6c079952fd4ed87ef651e8db111ce4,provider dataset file,True,all keys,Native RGB dimensions and frame metadata,explicit_file,2026-07-15T11:19:16+08:00
local_seqinfo_ir,E:\MM-UAV_extracted\MMMUAV\train\0007\seqinfo-ir.ini,654036843fb306cffadfa6388c8c54032f54e37b52d3beb5cd545328a258c54a,provider dataset file,True,all keys,Native IR dimensions and frame metadata,explicit_file,2026-07-15T11:19:16+08:00
local_gt_rgb,E:\MM-UAV_extracted\MMMUAV\train\0007\gt_rgb\gt.txt,413f489a6d970b78f08788df4d66525ff54d102c193cf81466be6aaf8d8cdce6,provider dataset file,True,9-column rows,Sparse RGB annotations; column values alone do not define semantics,explicit_file,2026-07-15T11:19:16+08:00
local_gt_ir,E:\MM-UAV_extracted\MMMUAV\train\0007\gt_ir\gt.txt,bddbde27f0332c1e474154572f53c0ad19bc27513b8b2143b74d88ea0a128b9c,provider dataset file,True,9-column rows,Sparse IR annotations; column values alone do not define semantics,explicit_file,2026-07-15T11:19:16+08:00
